,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
69,hamilton,75,US,1591730438,66,39.18,-84.53,89.01,14.99
70,bethel,1,US,1591730439,39,41.37,-73.41,88.0,8.05
71,airai,45,TL,1591730439,100,-8.93,125.41,56.82,3.51
72,nikolskoye,77,RU,1591730439,88,59.7,30.79,64.99,4.47
73,faanui,89,PF,1591730439,80,-16.48,-151.75,78.71,18.79
74,conceicao da barra,0,BR,1591730439,69,-18.59,-39.73,76.84,6.8
75,jackson,1,US,1591730439,35,42.42,-122.83,72.0,2.06
76,svetlogorsk,61,BY,1591730440,88,52.63,29.73,69.6,7.7
77,yellowknife,90,CA,1591730158,80,62.46,-114.35,42.01,14.99
78,busselton,100,AU,1591730440,66,-33.65,115.33,48.0,7.7
79,adre,0,TD,1591730440,32,13.47,22.2,82.74,6.62
80,bredasdorp,0,ZA,1591730440,87,-34.53,20.04,53.6,4.7
81,basco,89,PH,1591730440,80,20.45,121.97,84.16,15.48
82,vaini,75,TO,1591730441,94,-21.2,-175.2,73.4,5.82
83,hithadhoo,60,MV,1591730441,65,-0.6,73.08,84.18,4.21
84,takoradi,49,GH,1591730441,84,4.88,-1.76,79.61,9.62
85,mount gambier,45,AU,1591730441,100,-37.83,140.77,33.8,6.93
86,ilulissat,40,GL,1591730441,75,69.22,-51.1,41.0,6.93
87,kavieng,97,PG,1591730441,78,-2.57,150.8,82.67,8.25
88,iqaluit,75,CA,1591730442,74,63.75,-68.51,35.6,19.46
89,cidreira,100,BR,1591730217,85,-30.18,-50.21,62.46,6.93
90,trofors,0,NO,1591730442,54,65.53,13.41,53.6,5.82
91,kaniama,0,CD,1591730442,43,-7.57,24.18,71.26,4.23
92,husavik,75,IS,1591730442,81,66.04,-17.34,50.0,11.41
93,lakatoro,75,VU,1591730443,94,-16.1,167.42,78.8,1.12
94,ippy,95,CF,1591730443,85,6.27,21.22,72.77,2.37
95,placido de castro,45,BR,1591730443,46,-10.34,-67.19,91.45,3.38
96,adrar,31,MR,1591730443,33,20.5,-10.07,93.2,5.41
97,bogotol,96,RU,1591730444,98,56.21,89.53,41.81,7.92
98,devonport,94,AU,1591730444,82,-41.17,146.35,50.0,5.01
99,hualmay,6,PE,1591730444,65,-11.1,-77.61,68.18,7.25
100,punta arenas,75,CL,1591730151,86,-53.15,-70.92,37.4,11.41
101,cherskiy,0,RU,1591730444,37,68.75,161.3,66.11,16.11
102,menongue,29,AO,1591730444,43,-14.66,17.69,58.55,2.15
103,norman wells,75,CA,1591730445,58,65.28,-126.83,55.4,18.34
104,jamestown,1,US,1591730426,45,42.1,-79.24,82.4,1.66
105,cape town,40,ZA,1591730314,87,-33.93,18.42,62.01,10.29
106,kudahuvadhoo,99,MV,1591730445,77,2.67,72.89,83.91,9.46
107,lata,100,PT,1591730446,59,40.16,-8.33,66.0,7.0
108,mendi,99,PG,1591730446,98,-6.18,143.65,56.35,2.13
109,baykit,96,RU,1591730446,86,61.67,96.37,44.67,3.22
110,sitka,40,US,1591730446,41,57.05,-135.33,60.8,13.87
111,piacabucu,0,BR,1591730446,79,-10.41,-36.43,80.31,9.24
112,nizhniy kuranakh,99,RU,1591730446,86,58.84,125.49,48.9,3.4
113,iquique,90,CL,1591730447,68,-20.22,-70.14,66.2,8.05
114,karpathos,0,GR,1591730447,88,35.51,27.21,71.6,6.93
115,lasa,40,IT,1591730447,93,46.62,10.7,55.0,4.7
116,grants pass,75,US,1591730423,40,42.44,-123.33,71.01,3.36
117,mayor pablo lagerenza,100,PY,1591730447,50,-19.93,-60.77,88.27,6.08
118,chunskiy,100,RU,1591730447,96,56.08,99.63,45.61,2.33
119,mahebourg,40,MU,1591730448,78,-20.41,57.7,71.6,12.75
120,westport,1,US,1591730408,37,41.14,-73.36,89.01,12.75
121,ribeira grande,40,PT,1591730448,68,38.52,-28.7,66.2,6.93
122,masuguru,80,TZ,1591730448,47,-11.37,38.42,75.58,3.22
123,vanimo,86,PG,1591730448,82,-2.67,141.3,77.79,4.72
124,kalmunai,100,LK,1591730449,72,7.42,81.82,82.49,5.75
125,shrewsbury,100,GB,1591730449,59,52.71,-2.75,61.0,9.17
126,katsuura,100,JP,1591730449,78,35.13,140.3,73.4,12.75
127,touros,40,BR,1591730449,74,-5.2,-35.46,82.4,12.75
128,bambanglipuro,92,ID,1591730449,87,-7.95,110.28,75.16,5.61
129,mogwase,0,ZA,1591730450,41,-25.18,27.27,54.86,2.13
130,kerrobert,75,CA,1591730450,58,51.92,-109.13,59.0,5.23
131,havoysund,75,NO,1591730450,65,71.0,24.66,42.8,16.11
132,miri,75,MY,1591730450,94,4.41,114.01,80.01,2.24
133,deputatskiy,95,RU,1591730450,77,69.3,139.9,38.46,6.04
134,ingham,1,US,1591730450,35,42.6,-84.38,89.6,11.41
135,najran,0,SA,1591730451,16,17.49,44.13,87.8,2.24
136,lebu,11,CL,1591730451,61,-37.62,-73.65,53.53,12.15
137,khatanga,88,RU,1591730451,50,71.97,102.5,46.62,10.47
138,tevaitoa,21,PF,1591730451,74,-16.78,-151.5,79.38,17.02
139,san andres,40,CO,1591730451,70,12.58,-81.7,87.8,10.29
140,ancud,90,CL,1591730451,93,-41.87,-73.82,51.01,8.05
141,roald,9,NO,1591730451,76,62.58,6.13,55.0,12.75
142,kahului,40,US,1591730452,55,20.89,-156.47,86.0,13.87
143,cayhagan,100,PH,1591730452,78,9.67,122.43,80.8,2.21
144,cabo san lucas,5,MX,1591730347,69,22.89,-109.91,79.0,8.05
145,karratha,0,AU,1591730452,55,-20.74,116.85,69.78,6.58
146,luderitz,16,NA,1591730452,93,-26.65,15.16,59.0,8.05
147,sao joao da barra,0,BR,1591730453,55,-21.64,-41.05,86.0,4.7
148,teknaf,100,BD,1591730453,83,20.86,92.31,82.29,10.6
149,alta floresta,40,BR,1591730453,39,-9.88,-56.09,95.0,4.7
150,moree,0,AU,1591730453,87,-29.47,149.85,48.2,10.29
151,potosi,99,BO,1591730454,26,-19.58,-65.75,57.15,4.59
152,never,62,FR,1591730454,63,46.99,3.16,60.8,11.41
153,mount isa,0,AU,1591730454,62,-20.73,139.5,59.0,1.12
154,saint-augustin,98,CA,1591730454,73,51.23,-58.65,43.61,15.52
155,vila franca do campo,40,PT,1591730454,59,37.72,-25.43,66.2,10.29
156,umm lajj,0,SA,1591730454,39,25.02,37.27,88.23,8.95
157,flin flon,75,CA,1591730455,62,54.77,-101.86,57.2,6.93
158,buta,96,CD,1591730455,88,2.79,24.73,72.88,2.59
159,panalingaan,53,PH,1591730455,83,8.78,117.42,78.91,3.15
160,hasaki,94,JP,1591730455,100,35.73,140.83,68.0,4.7
161,bireun,100,ID,1591730456,82,5.2,96.7,77.88,5.32
162,silver city,40,US,1591730456,6,32.77,-108.28,75.2,8.05
163,saint-georges,40,GD,1591730456,88,12.06,-61.75,80.6,12.75
164,olga,100,RU,1591730456,89,43.74,135.29,62.46,1.12
165,roebourne,0,AU,1591730456,55,-20.78,117.13,70.16,7.61
166,vestmannaeyjar,1,IS,1591730457,71,63.44,-20.27,51.8,11.41
167,klaksvik,100,FO,1591730457,93,62.23,-6.59,48.2,18.34
168,hluk,100,CZ,1591730457,100,48.99,17.53,61.0,8.75
169,imbituba,75,BR,1591730458,82,-28.24,-48.67,68.0,6.93
170,norden,75,DE,1591730458,54,53.6,7.2,55.4,9.17
171,ryotsu,0,JP,1591730458,82,38.08,138.43,64.4,0.6
172,ahuimanu,75,US,1591730459,65,21.44,-157.84,82.4,11.41
173,ixtapa,5,MX,1591730459,69,20.7,-105.2,82.99,11.41
174,muros,100,ES,1591730459,57,42.78,-9.06,63.0,10.0
175,saint-paul,75,RE,1591730460,73,-21.01,55.27,69.8,14.99
176,flinders,100,AU,1591730460,93,-34.58,150.86,54.0,4.0
177,banff,57,CA,1591730461,43,51.18,-115.57,55.99,15.01
178,bagotville,93,AU,1591730461,93,-28.98,153.42,62.6,3.36
179,mehamn,75,NO,1591730461,67,71.04,27.85,42.8,10.29
180,port alfred,0,ZA,1591730461,37,-33.59,26.89,73.0,5.99
181,guerrero negro,0,MX,1591730461,19,27.98,-114.06,87.76,6.71
182,abonnema,75,NG,1591730461,78,4.71,6.79,82.4,6.93
183,along,11,IN,1591730462,87,28.17,94.77,72.12,2.1
184,maymyo,100,MM,1591730462,99,22.03,96.47,68.41,1.41
185,srednekolymsk,100,RU,1591730462,44,67.45,153.68,66.74,6.15
186,arman,100,RU,1591730462,78,59.7,150.17,46.04,0.96
187,ulladulla,75,AU,1591730462,100,-35.35,150.47,52.0,4.7
188,riyadh,95,SA,1591730463,18,24.69,46.72,96.8,3.36
189,carberry,75,CA,1591730463,48,49.87,-99.36,64.4,12.75
190,georgetown,20,MY,1591730463,83,5.41,100.34,82.0,1.12
191,urumqi,100,CN,1591730463,23,43.8,87.6,71.6,6.71
192,saint-philippe,20,RE,1591730463,82,-21.36,55.77,69.8,12.75
193,anadyr,0,RU,1591730464,58,64.75,177.48,53.6,8.95
194,mar del plata,0,AR,1591730291,33,-38.0,-57.56,59.0,8.05
195,noumea,54,NC,1591730464,82,-22.28,166.46,73.0,2.24
196,mayuge,100,UG,1591730464,85,0.46,33.48,66.45,1.03
197,rawlins,20,US,1591730465,30,41.79,-107.24,57.0,21.92
198,okhotsk,100,RU,1591730465,95,59.38,143.3,42.01,13.73
199,taonan,100,CN,1591730465,32,45.33,122.78,67.69,6.78
200,abbeville,22,FR,1591730466,67,50.1,1.83,57.99,6.15
201,zhezkazgan,11,KZ,1591730466,32,47.8,67.71,70.2,8.77
202,pevek,100,RU,1591730466,61,69.7,170.31,47.19,14.07
203,saskylakh,0,RU,1591730466,84,71.92,114.08,35.26,5.55
204,tautira,20,PF,1591730467,65,-17.73,-149.15,80.6,2.24
205,pisco,90,PE,1591730467,77,-13.7,-76.22,66.2,3.36
206,santarem,20,BR,1591730467,70,-2.44,-54.71,87.8,3.36
207,burnley,100,GB,1591730338,83,53.8,-2.23,55.0,5.06
208,kapoeta,99,SS,1591730468,61,4.77,33.59,78.33,7.25
209,leshukonskoye,100,RU,1591730468,95,64.9,45.76,62.74,3.71
210,bathsheba,75,BB,1591730468,70,13.22,-59.52,86.0,12.75
211,bougouni,100,ML,1591730306,61,11.42,-7.48,81.95,4.03
212,sorland,40,NO,1591730468,61,67.67,12.69,48.2,9.17
213,saldanha,0,ZA,1591730469,93,-33.01,17.94,59.0,18.34
214,poum,100,NC,1591730469,81,-20.23,164.02,73.42,8.7
215,yulara,0,AU,1591730469,52,-25.24,130.99,42.8,5.82
216,dhidhdhoo,100,MV,1591730469,81,6.88,73.1,83.46,13.2
217,san cristobal,40,VE,1591730469,34,7.77,-72.22,96.8,20.8
218,kaitangata,56,NZ,1591730470,55,-46.28,169.85,50.0,10.83
219,ouadda,100,CF,1591730470,91,8.08,22.4,71.22,0.25
220,puerto ayora,75,EC,1591730470,57,-0.74,-90.35,80.6,17.22
221,tuatapere,30,NZ,1591730470,86,-46.13,167.68,50.0,5.01
222,turukhansk,0,RU,1591730470,70,65.82,87.98,41.97,4.81
223,matamoros,5,MX,1591730462,17,25.53,-103.25,95.0,13.87
224,litovko,0,RU,1591730471,80,49.24,135.17,57.34,10.56
225,kavaratti,100,IN,1591730471,78,10.57,72.64,84.88,13.49
226,ondarroa,0,ES,1591730471,58,43.32,-2.42,62.01,5.01
227,codrington,81,AU,1591730471,91,-38.27,141.97,40.1,8.39
228,karasjok,84,NO,1591730230,59,69.47,25.51,44.6,14.99
229,huarmey,3,PE,1591730472,64,-10.07,-78.15,69.64,8.14
230,camana,2,PE,1591730472,66,-16.62,-72.71,68.22,7.92
231,louis trichardt,0,ZA,1591730472,62,-23.04,29.9,55.2,2.75
232,lazaro cardenas,0,MX,1591730472,64,17.96,-102.2,84.18,12.24
233,barrow,90,US,1591730315,80,71.29,-156.79,30.2,4.7
234,sambava,9,MG,1591730473,82,-14.27,50.17,70.43,13.56
235,ladushkin,90,RU,1591730473,87,54.57,20.17,55.4,4.47
236,erenhot,0,CN,1591730473,42,43.65,111.98,63.25,14.61
237,xapuri,40,BR,1591730473,62,-10.65,-68.5,89.6,9.17
238,broome,1,US,1591730473,39,42.25,-75.83,86.0,9.17
239,wagar,97,SD,1591730474,26,16.15,36.2,94.51,18.79
240,shizunai,100,JP,1591730474,72,42.33,142.37,57.78,4.65
241,marawi,100,PH,1591730474,86,8.0,124.29,75.99,5.99
242,tortoli,20,IT,1591730474,31,39.93,9.66,73.4,16.11
243,monster,0,NL,1591730474,65,52.03,4.17,57.99,4.0
244,nizhnekamsk,20,RU,1591730475,82,55.64,51.82,62.6,8.95
245,college,75,US,1591730475,63,64.86,-147.8,64.0,4.7
246,camacha,20,PT,1591730475,60,33.08,-16.33,68.0,11.41
247,vila velha,0,BR,1591730475,78,-20.33,-40.29,78.01,6.93
248,faya,40,SA,1591730475,31,18.39,42.45,75.2,3.74
249,chara,68,RU,1591730476,70,56.91,118.26,44.64,4.45
250,lannion,40,FR,1591730476,71,48.75,-3.42,57.2,4.7
251,areka,6,ET,1591730476,83,7.07,37.7,60.76,2.8
252,santa cruz de la palma,75,ES,1591730476,73,28.68,-17.76,71.6,13.87
253,uptar,100,RU,1591730476,72,59.75,150.92,43.88,0.78
254,itarema,62,BR,1591730476,79,-2.92,-39.92,82.27,10.76
255,boguchany,15,RU,1591730477,71,58.38,97.45,46.38,3.94
256,akdepe,0,TM,1591730477,38,42.06,59.38,73.4,6.93
257,pala,90,TD,1591730477,60,9.36,14.9,82.54,6.08
258,tasiilaq,75,GL,1591730477,80,65.61,-37.64,41.0,12.75
259,tutoia,98,BR,1591730477,80,-2.76,-42.27,82.78,3.6
260,yambio,100,SS,1591730478,94,4.57,28.4,69.6,1.92
261,salalah,75,OM,1591730478,89,17.02,54.09,86.0,8.05
262,beaumont,40,US,1591730478,59,30.09,-94.1,93.2,11.41
263,puerto leguizamo,38,CO,1591730478,75,-0.19,-74.78,85.35,1.25
264,vardo,75,NO,1591730478,70,70.37,31.11,42.8,8.05
265,zyryanka,100,RU,1591730478,45,65.75,150.85,64.27,14.0
266,pacific grove,1,US,1591730342,49,36.62,-121.92,82.99,4.7
267,kuusamo,98,FI,1591730479,47,65.97,29.18,59.0,2.24
268,necochea,0,AR,1591730479,42,-38.55,-58.74,59.0,8.01
269,freeport,1,US,1591730408,47,40.66,-73.58,84.99,14.99
270,mopti,84,ML,1591730479,52,14.67,-4.0,91.4,16.11
271,tombouctou,0,ML,1591730480,15,20.0,-3.0,103.96,15.7
272,makakilo city,75,US,1591730480,65,21.35,-158.09,82.4,6.93
273,nemuro,97,JP,1591730480,91,43.32,145.57,50.43,8.9
274,biograd na moru,20,HR,1591730480,82,43.94,15.45,68.0,4.7
275,saltillo,40,MX,1591730194,24,25.42,-101.0,89.6,15.46
276,balabac,100,PH,1591730481,73,7.99,117.06,82.42,2.98
277,moron,51,AR,1591730304,82,-34.65,-58.62,66.99,2.24
278,yeniseysk,0,RU,1591730481,84,58.45,92.17,44.06,4.99
279,aurillac,89,FR,1591730481,76,44.92,2.45,57.2,5.82
280,waipawa,0,NZ,1591730482,93,-41.41,175.52,48.2,12.75
281,goderich,99,CA,1591730482,49,43.75,-81.72,84.0,2.46
282,inhambane,15,MZ,1591730482,93,-23.86,35.38,69.01,4.0
283,nome,20,US,1591730183,49,64.5,-165.41,46.4,4.7
284,balyaga,10,RU,1591730482,87,51.15,108.92,41.45,1.63
285,san carlos de bariloche,75,AR,1591730482,75,-41.15,-71.31,42.8,35.57
286,namatanai,2,PG,1591730483,82,-3.67,152.43,79.21,4.12
287,lorengau,93,PG,1591730483,77,-2.02,147.27,82.36,6.51
288,sao filipe,9,CV,1591730483,84,14.9,-24.5,74.89,7.34
289,ovsyanka,40,RU,1591730483,100,55.96,92.55,41.0,4.47
290,golden,75,US,1591730483,44,39.76,-105.22,63.0,11.41
291,provideniya,0,RU,1591730484,53,64.38,-173.3,41.0,6.71
292,port elizabeth,1,ZA,1591730484,59,-33.92,25.57,64.4,3.36
293,opuwo,11,NA,1591730468,41,-18.06,13.84,59.54,7.14
294,paracuru,10,BR,1591730484,69,-3.41,-39.03,84.99,3.0
295,licata,0,IT,1591730484,63,37.11,13.95,69.01,4.7
296,sistranda,20,NO,1591730485,66,63.73,8.83,55.4,6.93
297,vanavara,100,RU,1591730485,95,60.34,102.28,44.64,2.84
298,isla vista,1,US,1591730485,14,34.41,-119.86,89.01,9.17
299,turkistan,0,KZ,1591730485,35,43.0,68.0,72.09,15.61
300,honningsvag,75,NO,1591730486,68,70.98,25.97,42.8,12.75
301,ailigandi,100,PA,1591730486,79,9.23,-78.02,83.93,4.59
302,shingu,100,JP,1591730486,91,33.73,135.98,67.48,7.7
303,sadovoye,0,RU,1591730487,31,47.78,44.51,78.39,7.74
304,asfi,0,MA,1591730487,69,32.3,-9.24,67.95,19.82
305,lima,75,PE,1591730224,77,-12.04,-77.03,66.2,8.05
306,ugoofaaru,100,MV,1591730467,79,5.67,73.0,83.88,12.66
307,haverfordwest,99,GB,1591730488,76,51.8,-4.97,57.2,19.46
308,santa maria,100,BR,1591730285,88,-29.68,-53.81,63.21,4.03
309,gorontalo,100,ID,1591730488,81,0.54,123.06,75.88,2.17
310,aklavik,90,CA,1591730488,81,68.22,-135.01,44.6,10.29
311,nakhon nayok,100,TH,1591730488,99,14.2,101.21,81.0,4.21
312,blagoyevo,42,RU,1591730488,60,63.37,47.92,71.29,8.52
313,manokwari,100,ID,1591730488,85,-0.87,134.08,78.21,6.85
314,qesarya,75,IL,1591730489,78,32.52,34.9,73.4,6.93
315,gamba,100,GA,1591730489,88,-2.65,10.0,73.81,5.44
316,dakar,0,SN,1591730489,83,14.69,-17.44,80.6,13.87
317,sept-iles,75,CA,1591730387,53,50.2,-66.38,55.4,14.99
318,los llanos de aridane,75,ES,1591730489,73,28.66,-17.92,71.6,13.87
319,jining,100,CN,1591730490,86,35.41,116.58,73.27,3.8
320,strezhevoy,20,RU,1591730490,88,60.73,77.59,62.6,4.47
321,muzhi,0,RU,1591730490,77,65.37,64.67,65.82,10.0
322,aykhal,75,RU,1591730490,90,66.0,111.5,32.0,8.95
323,amurzet,26,RU,1591730490,63,47.7,131.1,57.27,8.01
324,sarangani,100,PH,1591730491,77,5.4,125.46,82.18,10.96
325,maniitsoq,100,GL,1591730284,81,65.42,-52.9,42.19,7.96
326,muscat,20,OM,1591730234,89,23.61,58.59,87.8,3.36
327,araouane,0,ML,1591730491,13,18.9,-3.53,106.02,9.84
328,barybino,45,RU,1591730491,72,55.27,37.89,73.0,4.47
329,teacapan,0,MX,1591730492,62,22.55,-105.75,83.75,11.7
330,bolobo,100,CD,1591730492,87,-2.17,16.23,74.32,5.59
331,skeldon,100,GY,1591730492,87,5.88,-57.13,80.69,4.18
332,inongo,98,CD,1591730492,86,-1.95,18.27,73.08,4.94
333,zomin,0,UZ,1591730492,37,39.96,68.4,68.41,3.4
334,narsaq,75,GL,1591730493,38,60.92,-46.05,59.0,9.17
335,dingle,100,PH,1591730493,82,11.0,122.67,78.49,1.97
336,morayfield,98,AU,1591730493,97,-27.12,152.95,61.0,3.87
337,vydrino,100,RU,1591730493,66,51.48,104.85,48.56,4.7
338,prokuplje,75,RS,1591730493,68,43.23,21.59,66.2,17.22
339,kununurra,78,AU,1591730494,40,-15.77,128.73,59.0,11.65
340,gavle,22,SE,1591730494,75,60.67,17.14,52.0,1.01
341,port hawkesbury,90,CA,1591730494,87,45.62,-61.35,50.0,12.75
342,bahia honda,100,CU,1591730494,64,22.9,-83.16,87.28,8.08
343,nola,62,IT,1591730495,63,40.92,14.53,69.01,1.01
344,richards bay,0,ZA,1591730495,76,-28.78,32.04,68.99,14.18
345,otane,0,NZ,1591730495,77,-39.88,176.63,38.66,2.1
346,thinadhoo,100,MV,1591730467,69,0.53,72.93,84.83,6.46
347,camiri,100,BO,1591730495,54,-20.05,-63.52,79.79,6.49
348,mitsamiouli,5,KM,1591730495,73,-11.38,43.28,77.5,9.33
349,chapais,1,CA,1591730496,25,49.78,-74.85,62.6,5.82
350,padang,0,ID,1591730496,71,-0.95,100.35,78.21,3.89
351,natal,40,BR,1591730496,70,-5.79,-35.21,84.2,14.99
352,meridian,1,US,1591730209,45,43.61,-116.39,64.99,6.93
353,muli,99,MV,1591730496,78,2.92,73.57,83.55,10.16
354,clarence town,75,AU,1591730497,100,-32.58,151.78,60.01,4.7
355,komagane,100,JP,1591730497,79,35.73,137.94,59.97,2.35
356,maumere,69,ID,1591730497,75,-8.62,122.21,78.03,5.14
357,agadir,0,MA,1591730497,60,30.42,-9.6,73.4,20.8
358,zhigansk,100,RU,1591730497,74,66.77,123.37,38.19,23.49
359,beni,98,CD,1591730497,100,0.5,29.47,64.98,2.04
360,tazovskiy,0,RU,1591730498,77,67.47,78.7,48.96,9.01
361,salo,40,IT,1591730498,68,45.61,10.53,71.6,3.36
362,pandan,100,PH,1591730498,81,14.05,124.17,80.96,7.18
363,barcelos,100,PT,1591730498,59,41.54,-8.62,71.01,16.11
364,vestmanna,100,FO,1591730499,93,62.16,-7.17,48.2,18.34
365,koslan,10,RU,1591730499,58,63.46,48.9,71.08,9.66
366,gizo,100,SB,1591730499,71,-8.1,156.84,83.26,4.56
367,deulgaon raja,40,IN,1591730499,78,20.02,76.03,78.8,5.82
368,ardatov,0,RU,1591730499,86,55.24,43.1,59.88,1.95
369,bonavista,100,CA,1591730500,96,48.65,-53.11,36.82,15.05
370,souillac,40,MU,1591730500,78,-20.52,57.52,71.6,12.75
371,iisalmi,4,FI,1591730500,82,63.56,27.19,62.6,1.12
372,canto do buriti,10,BR,1591730500,48,-8.11,-42.94,87.49,5.82
373,isangel,20,VU,1591730500,94,-19.55,169.27,71.6,16.62
374,tarko-sale,0,RU,1591730500,87,64.92,77.78,55.0,9.8
375,sylling,0,NO,1591730501,70,59.9,10.28,62.01,3.0
376,beringovskiy,67,RU,1591730501,66,63.05,179.32,45.48,4.68
377,gat,1,IL,1591730501,76,31.61,34.76,73.99,3.74
378,uruzgan,0,AF,1591730501,21,32.83,66.0,71.47,1.23
379,uyuni,85,BO,1591730464,32,-20.46,-66.83,54.27,13.13
380,kalulushi,0,ZM,1591730501,57,-12.84,28.09,58.46,4.05
381,mildura,7,AU,1591730502,100,-34.2,142.15,33.8,3.36
382,torbay,90,CA,1591730502,93,47.67,-52.73,42.8,11.41
383,diego de almagro,78,CL,1591730502,20,-26.37,-70.05,76.62,11.7
384,nagua,75,DO,1591730502,74,19.38,-69.85,86.0,13.87
385,eyrarbakki,75,IS,1591730502,71,63.86,-21.15,50.0,11.41
386,tupancireta,100,BR,1591730502,98,-29.08,-53.84,60.6,5.88
387,pathein,99,MM,1591730503,82,16.78,94.73,80.71,8.52
